Hisse    Temettü Tar  Verim   T-1_Fiyat  T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
NUHCM    2023-02-27   %2.54  163.30     +9.97%    +9.93%    +9.96%    +9.96%    -9.98%    -10.00%   +9.97%    +4.84%    -3.27%    -2.36%    -7.17%    +2.27%    -0.85%    -3.22%    -1.97%   
TUPRS    2023-03-10   %6.40  91.29      +1.13%    +0.47%    +1.31%    +1.95%    +3.78%    -0.29%    -0.78%    -8.58%    -1.75%    -3.28%    +2.11%    +1.46%    -3.46%    -3.96%    -0.41%   
TTRAK    2023-03-10   %5.76  328.00     +2.26%    +1.88%    +0.29%    +2.30%    +2.25%    -0.27%    -0.31%    -9.85%    -2.80%    -0.22%    -0.45%    +0.30%    +0.76%    -5.60%    -0.51%   
FROTO    2023-03-13   %2.09  61.50      +0.84%    -0.14%    +4.83%    +0.05%    +1.41%    -2.29%    +0.57%    -1.15%    -4.26%    +0.15%    +0.19%    -2.24%    -2.61%    +1.96%    +4.34%   
YKBNK    2023-03-20   %7.49  11.25      +1.21%    +1.11%    -6.07%    -0.09%    -0.09%    +2.16%    -0.97%    -8.62%    +0.10%    +1.75%    +1.15%    -2.83%    -1.36%    -3.45%    +2.76%   
TOASO    2023-03-21   %2.95  183.00     -4.89%    +1.71%    -3.06%    -1.16%    +1.60%    -3.09%    -1.03%    -2.30%    +3.19%    -0.43%    +1.85%    +2.89%    -1.97%    +0.00%    +1.48%   
AGESA    2023-03-23   %2.73  27.54      -3.04%    +2.33%    -1.14%    -2.74%    -1.48%    -0.60%    +4.16%    -4.58%    -1.45%    -0.46%    +0.62%    +1.85%    -3.48%    -3.76%    -1.71%   
MEDTR    2023-03-24   %0.71  32.04      -0.48%    +0.85%    +4.71%    -3.40%    -4.54%    -0.63%    +0.82%    -1.69%    +0.00%    -5.21%    +0.00%    -3.15%    -5.46%    -10.68%   +6.31%   
ISYAT    2023-03-27   %6.53  5.36       +1.45%    -0.89%    -3.24%    -4.28%    +0.00%    +0.00%    +4.08%    -11.38%   -6.32%    -1.35%    +0.23%    -0.91%    -0.92%    +0.23%    -1.62%   
