Hisse    Temettü Tar  Verim   T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ENKAI    2024-01-03   %1.32  -3.09%    -4.98%    +0.59%    -1.29%    +1.48%    -0.58%    +0.29%    -3.70%    +1.40%    -0.06%    +1.62%    -0.41%    +4.99%    -0.28%    -0.79%   
EGPRO    2024-01-09   %0.56  +3.45%    +3.11%    +2.57%    -3.30%    +3.70%    +5.21%    -0.20%    -4.08%    +1.35%    +1.54%    -1.10%    +2.72%    -1.22%    -1.17%    +2.15%   
OSMEN    2024-01-31   %0.47  +3.01%    -1.71%    +1.33%    +1.77%    +1.39%    +5.24%    -0.65%    +0.28%    +0.84%    -0.14%    +0.83%    +2.53%    +5.96%    +0.47%    -1.26%   
NUHCM    2024-02-27   %1.60  +1.09%    -1.54%    +1.65%    +0.62%    -1.30%    +0.23%    +4.50%    -4.75%    -1.56%    +4.11%    -2.28%    -4.12%    -0.16%    -3.57%    +3.12%   
ANHYT    2024-03-26   %4.43  -2.78%    -0.97%    +2.54%    -0.89%    -0.80%    +0.81%    -5.56%    -9.15%    -2.33%    +2.82%    +0.19%    -0.70%    -0.37%    -0.98%    +3.22%   
BRKVY    2024-03-26   %0.12  +4.67%    +9.96%    +9.86%    +0.23%    -0.77%    -1.47%    +6.60%    +4.10%    -5.19%    -7.42%    -3.25%    -4.00%    +2.26%    +2.01%    -5.86%   
EGPRO    2024-03-26   %2.07  +1.90%    -9.50%    +0.94%    +2.31%    -5.73%    +2.40%    +4.23%    -8.46%    +2.31%    +1.57%    -2.36%    -3.21%    +0.19%    -1.97%    -3.18%   
AKBNK    2024-03-26   %3.75  -2.07%    +1.06%    +5.43%    +0.76%    +5.63%    +1.73%    +0.39%    -3.74%    +0.27%    +5.36%    +0.00%    +2.18%    +3.14%    -0.12%    +6.42%   
GEDIK    2024-03-27   %7.62  -2.74%    +1.59%    -1.00%    -1.15%    +0.65%    -2.45%    +1.70%    -7.64%    +2.44%    +3.54%    -2.52%    -2.21%    +1.48%    -0.23%    +7.31%   
CEMTS    2024-04-29   %1.22  -1.82%    +2.27%    +0.30%    +2.21%    +6.29%    +3.23%    -0.63%    -3.78%    +1.59%    +2.67%    -1.26%    -2.82%    +2.53%    -0.73%    -1.65%   
CIMSA    2024-04-29   %2.89  -0.45%    -0.65%    +2.75%    +2.30%    -0.31%    +0.38%    +2.74%    -1.94%    -1.24%    +1.38%    +0.12%    +3.33%    +0.06%    -0.66%    -1.02%   
POLHO    2024-04-30   %0.80  +3.12%    +1.44%    +1.49%    -0.44%    -0.67%    -0.07%    -0.45%    -2.17%    +2.37%    +1.79%    -1.17%    +1.71%    -1.24%    +3.33%    -0.43%   
SAHOL    2024-05-02   %2.87  +3.27%    -2.94%    +2.92%    +0.96%    +2.53%    +2.30%    -1.18%    +0.43%    +0.70%    +0.43%    +1.60%    +0.37%    +0.78%    +0.36%    -1.86%   
ENJSA    2024-05-02   %3.69  -0.55%    -0.32%    +0.63%    +3.07%    +1.99%    +2.25%    -0.22%    -3.53%    -1.14%    +1.16%    +0.69%    -0.53%    +0.61%    +0.15%    -2.26%   
MACKO    2024-05-06   %5.57  +3.62%    +1.00%    +0.49%    -1.26%    -2.33%    +7.09%    +4.18%    -13.97%   -5.67%    -2.00%    -3.00%    +0.33%    -3.09%    +4.27%    -1.23%   
MAVI     2024-05-06   %1.98  +6.91%    +1.96%    +0.40%    +4.34%    -0.05%    +3.24%    +1.05%    -1.55%    +3.16%    -1.48%    +0.83%    +0.26%    -2.15%    -2.09%    +2.25%   
BOBET    2024-05-07   %1.74  +2.45%    +4.25%    +0.42%    -1.87%    +3.23%    -1.13%    +0.67%    -0.83%    -1.20%    -1.37%    -0.37%    -3.86%    -1.78%    -1.30%    +2.01%   
JANTS    2024-05-07   %0.84  -4.69%    -1.11%    -1.77%    -0.57%    +1.89%    -2.90%    -0.25%    +0.42%    +0.58%    -3.13%    -2.72%    -4.90%    +0.83%    +3.19%    -1.33%   
LKMNH    2024-05-07   %0.72  -1.93%    +1.84%    +2.71%    +1.23%    -6.03%    +5.49%    +2.11%    -1.32%    -1.28%    +2.12%    +2.94%    +2.35%    +3.72%    +1.69%    -1.35%   
NTGAZ    2024-05-07   %5.93  +4.04%    +8.16%    -10.00%   -4.29%    +6.28%    +2.28%    +2.43%    -10.28%   -4.12%    -3.03%    -1.48%    -3.69%    +1.80%    +3.18%    -0.40%   
AZTEK    2024-05-07   %2.08  -0.66%    -0.38%    -4.63%    +1.55%    +4.24%    +3.88%    -1.46%    +2.77%    -3.14%    -1.76%    -4.82%    -4.07%    -6.26%    +1.88%    -0.76%   
AKSGY    2024-05-08   %0.43  +1.11%    +9.98%    +1.71%    +0.60%    +5.62%    -9.98%    -1.59%    +2.25%    -3.39%    -0.70%    -2.36%    +3.68%    -4.30%    +2.01%    +3.52%   
KSTUR    2024-05-08   %0.07  +0.00%    -3.17%    -1.99%    -10.00%   -1.39%    +0.11%    +9.99%    -4.73%    -1.98%    -2.98%    -4.55%    +0.00%    +9.99%    +9.95%    -5.08%   
SKBNK    2024-05-13   %1.11  +0.82%    +0.41%    -1.42%    -0.82%    +0.21%    +1.04%    +2.46%    -4.81%    +2.53%    +0.41%    +1.43%    +2.02%    +4.15%    +3.23%    -4.41%   
ENKAI    2024-05-14   %2.97  -1.19%    +1.73%    -0.93%    +2.08%    -0.20%    +1.17%    -2.68%    -6.12%    +0.06%    +1.82%    +2.77%    +0.00%    +1.53%    +3.12%    +2.92%   
EGGUB    2024-05-16   %2.25  +0.34%    +1.22%    -1.13%    +3.08%    -3.48%    +2.50%    -0.66%    -4.62%    +0.35%    +2.52%    -1.23%    +3.05%    -1.92%    -3.06%    -3.16%   
CCOLA    2024-05-27   %0.90  +3.65%    +2.66%    -1.81%    +1.12%    +0.20%    +1.30%    +1.35%    -1.01%    -1.86%    -2.15%    -0.47%    +1.94%    +5.06%    -1.25%    +0.13%   
MGROS    2024-05-27   %1.33  +2.16%    +4.12%    +0.40%    -3.60%    +0.97%    -1.92%    -4.02%    +1.18%    +2.34%    -0.83%    -0.73%    +0.26%    +3.21%    +0.56%    -0.25%   
AEFES    2024-05-28   %1.02  +0.10%    -0.05%    -1.83%    +0.05%    -0.78%    -0.20%    +2.72%    -0.72%    -3.25%    -2.25%    +1.95%    +7.54%    +0.00%    +1.26%    -2.63%   
ASUZU    2024-05-29   %1.78  -0.29%    -2.62%    +0.10%    +1.09%    -2.75%    -0.51%    +2.03%    -7.37%    +3.12%    +3.02%    -4.15%    -0.95%    +5.54%    -4.90%    -3.77%   
AGHOL    2024-05-29   %0.77  +0.75%    +1.69%    -3.32%    -0.34%    -2.69%    -5.03%    +0.97%    -1.03%    -2.31%    +2.14%    +6.96%    +0.70%    +0.00%    -2.01%    -3.90%   
OSMEN    2024-05-29   %0.32  -3.15%    -2.33%    -0.32%    -2.07%    -3.09%    -4.03%    +9.09%    -7.05%    +2.16%    -1.35%    -0.77%    -0.95%    -1.13%    -0.70%    -8.51%   
AVPGY    2024-05-29   %1.62  -0.98%    -2.12%    +1.06%    -0.59%    -0.60%    -1.80%    +1.83%    -1.43%    +0.05%    -1.64%    +0.10%    +0.90%    -3.35%    -0.49%    -2.40%   
ISMEN    2024-05-29   %2.27  +3.90%    +2.71%    +3.80%    -1.76%    -1.51%    +3.21%    -1.72%    -3.44%    -3.47%    -1.62%    +4.01%    +0.10%    -4.30%    -4.85%    -4.50%   
EGEEN    2024-05-29   %0.68  -0.46%    -0.86%    +2.39%    -0.37%    -0.20%    -3.64%    +0.30%    -4.34%    -0.75%    -0.31%    -1.40%    -0.75%    -1.11%    -0.80%    -1.19%   
YUNSA    2024-05-30   %3.67  -3.41%    -2.27%    -1.09%    +0.89%    +2.38%    -1.77%    -0.41%    -8.07%    -3.82%    -0.23%    -2.11%    -1.44%    -0.91%    -1.04%    -2.11%   
ALARK    2024-05-30   %0.74  -2.79%    +2.45%    -1.81%    +1.26%    -2.16%    +1.10%    +0.34%    +2.34%    -1.96%    +0.67%    +0.08%    -1.74%    -0.67%    -1.61%    -2.58%   
BIGCH    2024-05-31   %1.80  -1.27%    -0.47%    +0.59%    -2.34%    +0.30%    -2.99%    -1.78%    -0.94%    -2.85%    +1.63%    +1.28%    -2.53%    +2.86%    -0.88%    +1.15%   
