==================== TABLE 2: SORTED BY PRICE-TO-BOOK (P/B) ====================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
KAYSE   |       N/A       N/A       N/A  |       0.14       0.67 |       3.0331
MNDRS   |     49.61       N/A     49.61  |       0.19       0.38 |       1.5730
MRGYO   |      1.24       N/A      1.24  |       0.23      17.99 |       0.4963
IHGZT   |      4.43       N/A      4.43  |       0.24       0.43 |       0.2705
ZOREN   |       N/A       N/A       N/A  |       0.24       0.41 |       3.0832
SNGYO   |     16.95       N/A     16.95  |       0.26       2.21 |       0.6850
NTHOL   |     12.55       N/A     12.55  |       0.26       0.78 |       0.5283
VESBE   |       N/A      1.48       N/A  |       0.28       0.17 |       3.0970
YYAPI   |      1.44       N/A      1.44  |       0.28     172.62 |       3.6151
KLGYO   |       N/A       N/A       N/A  |       0.28       5.07 |       3.1972
MEGAP   |      2.49       N/A      2.49  |       0.29       0.07 |       0.2333
EPLAS   |       N/A       N/A       N/A  |       0.30       0.47 |       3.1131
OZGYO   |     42.80       N/A     42.80  |       0.30       9.88 |       1.6209
MERIT   |      7.60       N/A      7.60  |       0.30      17.32 |       0.7359
AKFGY   |      6.20       N/A      6.20  |       0.30       6.17 |       0.4723
ASGYO   |      1.46       N/A      1.46  |       0.31      37.00 |       0.9122
ISBIR   |     93.20       N/A     93.20  |       0.31       0.25 |       2.9190
PNSUT   |       N/A     13.64       N/A  |       0.32       0.26 |       3.1230
SRVGY   |      3.72       N/A      3.72  |       0.33       2.20 |       0.3322
VESTL   |       N/A      2.83       N/A  |       0.33       0.07 |       3.1239
SISE    |     11.86      4.21      9.57  |       0.33       0.60 |       0.4752
AGYO    |     30.69       N/A     30.69  |       0.34        N/A |       1.2876
OZKGY   |       N/A      1.61       N/A  |       0.34       3.65 |       3.1996
BERA    |       N/A       N/A       N/A  |       0.34       0.57 |       3.1394
GOZDE   |       N/A       N/A       N/A  |       0.34   19668.26 |     396.4952
VKGYO   |     12.36       N/A     12.36  |       0.35       6.66 |       0.6874
EDIP    |      4.42       N/A      4.42  |       0.35       3.13 |       0.3858
MARTI   |     85.50       N/A     85.50  |       0.35       1.60 |       2.7400
VRGYO   |       N/A       N/A       N/A  |       0.35      10.43 |       3.3436
KZGYO   |       N/A       N/A       N/A  |       0.36        N/A |       3.3364
IHEVA   |       N/A       N/A       N/A  |       0.36       0.20 |       3.1421
ADESE   |      2.72       N/A      2.72  |       0.36       3.70 |       0.3398
PETUN   |     17.36       N/A     17.36  |       0.37       0.34 |       0.7201
GLRYH   |      3.17       N/A      3.17  |       0.37       0.06 |       0.2994
USAK    |       N/A       N/A       N/A  |       0.37       0.74 |       3.1615
LRSHO   |       N/A       N/A       N/A  |       0.38       0.39 |       3.1577
OSTIM   |       N/A       N/A       N/A  |       0.39       3.53 |       3.2258
MOGAN   |     15.45       N/A     15.45  |       0.39       2.54 |       0.7203
RUBNS   |       N/A       N/A       N/A  |       0.40       0.89 |       3.1795
HLGYO   |      2.81       N/A      2.81  |       0.41       2.30 |       0.3297
KZBGY   |     12.80       N/A     12.80  |       0.42       6.32 |       0.7360
AYDEM   |       N/A      3.42       N/A  |       0.42       1.45 |       3.2038
RGYAS   |      3.45       N/A      3.45  |       0.43       4.62 |       0.4222
AKFYE   |     20.23       N/A     20.23  |       0.44       4.52 |       0.9272
CANTE   |       N/A       N/A       N/A  |       0.44       2.05 |       3.2245
ATEKS   |      1.69       N/A      1.69  |       0.44       4.32 |       0.3059
PENGD   |       N/A       N/A       N/A  |       0.45       0.62 |       3.1986
ISGYO   |       N/A     59.86       N/A  |       0.45       8.59 |       3.3615
GSDHO   |     60.70       N/A     60.70  |       0.46       1.02 |       2.0596
AKSGY   |      7.21       N/A      7.21  |       0.47       5.04 |       0.5691
ALGYO   |       N/A       N/A       N/A  |       0.47      14.32 |       3.4839
VERTU   |       N/A       N/A       N/A  |       0.47        N/A |       3.3982
KRTEK   |   1159.00       N/A   1159.00  |       0.48       0.56 |      34.3640
DEVA    |       N/A       N/A       N/A  |       0.49       0.72 |       3.2248
ENTRA   |       N/A       N/A       N/A  |       0.49       4.54 |       3.3023
BESLR   |     17.59       N/A     17.59  |       0.50       0.28 |       0.7961
NUGYO   |       N/A       N/A       N/A  |       0.50       5.21 |       3.3191
CATES   |      4.89       N/A      4.89  |       0.50       0.86 |       0.4350
ULUFA   |       N/A       N/A       N/A  |       0.50        N/A |       3.4183
DYOBY   |       N/A       N/A       N/A  |       0.51       0.47 |       3.2335
BLCYT   |     15.89       N/A     15.89  |       0.52       4.07 |       0.8323
ULUUN   |    118.50       N/A    118.50  |       0.52       0.11 |       3.7725
AVPGY   |     15.18       N/A     15.18  |       0.52       3.17 |       0.7955
AYEN    |     42.31       N/A     42.31  |       0.52       1.31 |       1.5576
TEKTU   |       N/A       N/A       N/A  |       0.52      23.04 |       3.6907
SAHOL   |     25.06      3.50     18.60  |       0.53       0.77 |       0.8511
PSGYO   |      4.99       N/A      4.99  |       0.53      95.07 |       2.3370
TSPOR   |       N/A       N/A       N/A  |       0.53       2.63 |       3.2842
ARSAN   |       N/A       N/A       N/A  |       0.53      41.47 |       4.0634
SNICA   |       N/A       N/A       N/A  |       0.54       0.79 |       3.2519
ALARK   |     25.70      4.21     19.26  |       0.54       5.14 |       0.9654
DZGYO   |      7.02       N/A      7.02  |       0.54      29.67 |       1.0964
SILVR   |       N/A       N/A       N/A  |       0.54       0.58 |       3.2497
BUCIM   |       N/A       N/A       N/A  |       0.54       0.71 |       3.2543
EKGYO   |    257.75   1031.00    489.73  |       0.54       0.83 |      14.7194
ISSEN   |       N/A       N/A       N/A  |       0.54       0.70 |       3.2544
A1YEN   |     18.62       N/A     18.62  |       0.55       3.77 |       0.9242
ESEN    |       N/A       N/A       N/A  |       0.55       4.69 |       3.3384
SEGYO   |       N/A       N/A       N/A  |       0.56       9.37 |       3.4351
YATAS   |     52.11     53.51     52.53  |       0.57       0.25 |       1.8612
AVTUR   |     12.12       N/A     12.12  |       0.57      28.25 |       1.2335
PRKME   |       N/A       N/A       N/A  |       0.57       5.61 |       3.3696
DOHOL   |     18.73    291.71    100.63  |       0.58       0.56 |       3.2900
MHRGY   |      3.44       N/A      3.44  |       0.58      11.92 |       0.6063
OYLUM   |     98.50       N/A     98.50  |       0.58       0.85 |       3.2346
DOAS    |     13.41      1.66      9.88  |       0.59       0.16 |       0.6157
RTALB   |      5.80       N/A      5.80  |       0.59       6.86 |       0.6315
TUKAS   |     20.82       N/A     20.82  |       0.59       1.19 |       0.9610
BIENY   |       N/A       N/A       N/A  |       0.59       0.65 |       3.2792
GOLTS   |    496.15       N/A    496.15  |       0.59       0.85 |      14.9349
KATMR   |     17.06       N/A     17.06  |       0.59       2.68 |       0.8808
AKENR   |       N/A       N/A       N/A  |       0.59       0.42 |       3.2766
AKYHO   |       N/A       N/A       N/A  |       0.61       5.92 |       3.3937
MSGYO   |     47.77       N/A     47.77  |       0.61       2.65 |       1.7932
MEPET   |       N/A       N/A       N/A  |       0.61       0.42 |       3.2875
PRDGS   |    143.00       N/A    143.00  |       0.62      40.75 |       5.3595
KONTR   |       N/A       N/A       N/A  |       0.62       0.24 |       3.2883
BEGYO   |       N/A       N/A       N/A  |       0.62      21.33 |       3.7108
FRIGO   |       N/A       N/A       N/A  |       0.62       1.33 |       3.3110
PLTUR   |     10.56       N/A     10.56  |       0.62       0.71 |       0.6679
RYGYO   |      3.77       N/A      3.77  |       0.63      14.93 |       0.6997
TATGD   |     13.56       N/A     13.56  |       0.63       0.58 |       0.7576
HATEK   |       N/A       N/A       N/A  |       0.64       1.07 |       3.3147
IHLAS   |       N/A       N/A       N/A  |       0.64       0.21 |       3.2991
DARDL   |       N/A       N/A       N/A  |       0.65       0.35 |       3.3044
AYGAZ   |      9.03     15.23     10.89  |       0.65       0.62 |       0.6892
KRGYO   |     11.39       N/A     11.39  |       0.65       8.66 |       0.8681
AGHOL   |       N/A      0.22       N/A  |       0.65       0.12 |       3.3034
YESIL   |       N/A       N/A       N/A  |       0.66    -340.98 |       3.5040
ENDAE   |       N/A       N/A       N/A  |       0.67       5.92 |       3.4261
