========================= TABLE 3: SORTED BY BLENDED P/E =========================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
ACSEL   |      0.02       N/A      0.02  |       2.64       1.98 |       0.7015
MRGYO   |      1.24       N/A      1.24  |       0.23      17.99 |       0.4963
YYAPI   |      1.44       N/A      1.44  |       0.28     172.62 |       3.6151
ASGYO   |      1.46       N/A      1.46  |       0.31      37.00 |       0.9122
ATEKS   |      1.69       N/A      1.69  |       0.44       4.32 |       0.3059
MERKO   |      2.00       N/A      2.00  |       0.81      19.27 |       0.7175
KERVN   |      2.04       N/A      2.04  |       0.95  -23579.90 |       0.5703
MEGAP   |      2.49       N/A      2.49  |       0.29       0.07 |       0.2333
FORTE   |      2.60       N/A      2.60  |       2.28       3.37 |       0.8055
ADESE   |      2.72       N/A      2.72  |       0.36       3.70 |       0.3398
HLGYO   |      2.81       N/A      2.81  |       0.41       2.30 |       0.3297
TUREX   |      2.82       N/A      2.82  |       1.09       1.00 |       0.4754
ALBRK   |      2.46      4.37      3.04  |       0.69       0.78 |       0.3847
LIDFA   |      3.16       N/A      3.16  |       1.14       0.64 |       0.5014
GLRYH   |      3.17       N/A      3.17  |       0.37       0.06 |       0.2994
TSKB    |      3.03      3.60      3.20  |       0.72       1.79 |       0.4240
ESCOM   |      3.23       N/A      3.23  |       1.09       1.93 |       0.5194
HDFGS   |      3.36       N/A      3.36  |       0.68       2.34 |       0.4328
MHRGY   |      3.44       N/A      3.44  |       0.58      11.92 |       0.6063
RGYAS   |      3.45       N/A      3.45  |       0.43       4.62 |       0.4222
ANSGR   |      4.51      0.99      3.46  |       1.56       0.56 |       0.6257
A1CAP   |      3.54       N/A      3.54  |       0.79       0.26 |       0.4313
ISFIN   |      3.61       N/A      3.61  |       1.05       2.66 |       0.5504
SRVGY   |      3.72       N/A      3.72  |       0.33       2.20 |       0.3322
RYGYO   |      3.77       N/A      3.77  |       0.63      14.93 |       0.6997
IHLGM   |      3.85       N/A      3.85  |       0.84       1.06 |       0.4814
YKSLN   |      4.09       N/A      4.09  |       2.02       1.29 |       0.7957
VAKFN   |      4.21       N/A      4.21  |       1.10       5.00 |       0.6470
GIPTA   |      4.25       N/A      4.25  |       2.62       4.04 |       1.0112
ISCTR   |      4.86      2.93      4.28  |       0.88       0.93 |       0.5158
EDIP    |      4.42       N/A      4.42  |       0.35       3.13 |       0.3858
IHGZT   |      4.43       N/A      4.43  |       0.24       0.43 |       0.2705
TURSG   |      5.78      1.77      4.57  |       2.26       1.32 |       0.8866
AHSGY   |      4.59       N/A      4.59  |       1.54      26.93 |       1.2197
GARAN   |      4.90      4.07      4.65  |       1.28       1.59 |       0.6532
VAKBN   |      4.22      5.82      4.70  |       0.98       1.31 |       0.5760
SEKFK   |      4.70       N/A      4.70  |       1.01       1.64 |       0.5887
GARFA   |      4.81       N/A      4.81  |       1.93       3.04 |       0.8550
MTRYO   |      4.83       N/A      4.83  |       1.00       0.08 |       0.5640
BIOEN   |      4.89       N/A      4.89  |       3.34       3.16 |       1.2146
CATES   |      4.89       N/A      4.89  |       0.50       0.86 |       0.4350
EGEGY   |      4.95       N/A      4.95  |       2.42       1.31 |       0.9518
PSGYO   |      4.99       N/A      4.99  |       0.53      95.07 |       2.3370
AKGRT   |      4.63      6.15      5.08  |       1.47       0.65 |       0.7100
AYES    |      5.46       N/A      5.46  |       1.85       0.47 |       0.8251
ATLAS   |      5.49       N/A      5.49  |       1.04       0.08 |       0.6166
KIMMR   |      5.69       N/A      5.69  |       0.86       0.26 |       0.5895
BULGS   |      5.70       N/A      5.70  |       2.18       8.03 |       1.0733
AKBNK   |      6.38      4.40      5.78  |       1.32       1.91 |       0.7423
INFO    |      5.79       N/A      5.79  |       2.09       0.32 |       0.9038
RTALB   |      5.80       N/A      5.80  |       0.59       6.86 |       0.6315
OYYAT   |      5.83       N/A      5.83  |       1.01       0.47 |       0.6397
AKFGY   |      6.20       N/A      6.20  |       0.30       6.17 |       0.4723
YKBNK   |      7.13      4.20      6.25  |       1.24       1.60 |       0.7473
ANHYT   |      6.71      6.05      6.51  |       3.84       1.08 |       1.4027
MNDTR   |      6.61       N/A      6.61  |       0.84       0.39 |       0.6457
GLYHO   |      6.78       N/A      6.78  |       2.22       1.27 |       1.0192
FROTO   |      9.58      0.46      6.85  |       1.81       0.37 |       0.9024
DZGYO   |      7.02       N/A      7.02  |       0.54      29.67 |       1.0964
KOTON   |      7.10       N/A      7.10  |       1.78       0.37 |       0.9124
AKSGY   |      7.21       N/A      7.21  |       0.47       5.04 |       0.5691
KRSTL   |      7.57       N/A      7.57  |       1.06       0.63 |       0.7683
MERIT   |      7.60       N/A      7.60  |       0.30      17.32 |       0.7359
SANKO   |      7.70       N/A      7.70  |       1.33       0.57 |       0.8422
