====================== TABLE 1: ALPHABETICAL TICKER ORDER ======================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
A1CAP   |      3.56       N/A      3.56  |       0.79       0.26 |       0.4333
A1YEN   |     18.62       N/A     18.62  |       0.55       3.77 |       0.9242
AAGYO   |     88.50       N/A     88.50  |       0.69      11.82 |       3.2209
ACSEL   |      0.02       N/A      0.02  |       2.57       1.95 |       0.6832
ADEL    |       N/A       N/A       N/A  |       6.41       3.25 |       6.5320
ADESE   |      2.75       N/A      2.75  |       0.36       3.73 |       0.3424
ADGYO   |       N/A       N/A       N/A  |       1.85      35.29 |       4.6668
AEFES   |     14.54      0.70     10.39  |       1.06       0.51 |       0.8999
AFYON   |     21.90       N/A     21.90  |       0.69       1.35 |       1.0526
AGESA   |      7.36     13.83      9.30  |       4.34       0.93 |       1.7057
AGHOL   |       N/A      0.23       N/A  |       0.66       0.12 |       3.3047
AGROT   |       N/A       N/A       N/A  |       0.89       2.94 |       3.4892
AGYO    |     30.62       N/A     30.62  |       0.33        N/A |       1.2844
AHGAZ   |     28.28       N/A     28.28  |       1.81       1.64 |       1.8612
AHSGY   |      4.53       N/A      4.53  |       1.51      26.57 |       1.2031
AKBNK   |      6.39      4.41      5.79  |       1.32       1.91 |       0.7439
AKCNS   |     68.79      7.96     50.54  |       1.60       1.77 |       2.4033
AKENR   |       N/A       N/A       N/A  |       0.60       0.42 |       3.2772
AKFGY   |      6.20       N/A      6.20  |       0.30       6.17 |       0.4717
AKFIS   |    177.50       N/A    177.50  |       1.33       4.65 |       6.0452
AKFYE   |     20.26       N/A     20.26  |       0.44       4.53 |       0.9278
AKGRT   |      4.63      6.15      5.08  |       1.47       0.65 |       0.7094
AKHAN   |       N/A       N/A       N/A  |       1.77       1.19 |       3.9365
AKMGY   |     14.55       N/A     14.55  |       0.85       8.07 |       1.0590
AKSA    |     10.62     19.19     13.20  |       1.37       1.35 |       1.1702
AKSEN   |     13.80     14.90     14.13  |       1.58       2.55 |       1.3347
AKSGY   |      7.21       N/A      7.21  |       0.47       5.04 |       0.5691
AKSUE   |       N/A       N/A       N/A  |       3.29      36.03 |       5.4718
AKYHO   |       N/A       N/A       N/A  |       0.61       5.92 |       3.3951
ALARK   |     25.49      4.18     19.10  |       0.53       5.10 |       0.9576
ALBRK   |      2.46      4.37      3.04  |       0.69       0.78 |       0.3844
ALCAR   |       N/A       N/A       N/A  |       4.16       1.12 |       5.2496
ALCTL   |       N/A       N/A       N/A  |       2.01       1.28 |       4.0707
ALFAS   |    265.89       N/A    265.89  |       3.00       2.47 |       9.5186
ALGYO   |       N/A       N/A       N/A  |       0.47      14.35 |       3.4846
ALKA    |       N/A       N/A       N/A  |       3.13       2.50 |       4.7105
ALKIM   |       N/A       N/A       N/A  |     121.54       1.09 |      36.8782
ALKLC   |       N/A       N/A       N/A  |      14.58       7.46 |      10.2654
ALTNY   |    563.00       N/A    563.00  |       3.65       5.90 |      18.6854
ALVES   |     44.83       N/A     44.83  |       1.58       0.40 |       2.1946
ANELE   |       N/A       N/A       N/A  |      12.98       4.62 |       9.8069
ANGEN   |       N/A       N/A       N/A  |       1.32       3.13 |       3.7324
ANHYT   |      6.74      6.08      6.54  |       3.85       1.08 |       1.4077
ANSGR   |      4.53      0.99      3.47  |       1.57       0.57 |       0.6284
ARASE   |     24.81       N/A     24.81  |       1.31       0.83 |       1.4653
ARCLK   |       N/A      6.51       N/A  |       0.83       0.13 |       3.4013
ARDYZ   |     32.28       N/A     32.28  |       9.09       3.29 |       4.4265
ARENA   |       N/A       N/A       N/A  |       1.31       0.09 |       3.6641
ARFYE   |       N/A       N/A       N/A  |       2.74      12.59 |       4.6999
ARMGD   |     49.57       N/A     49.57  |       6.44       3.66 |       4.8912
ARSAN   |       N/A       N/A       N/A  |       0.53      41.60 |       4.0669
ARTMS   |     18.82       N/A     18.82  |       1.38       4.76 |       1.4075
ARZUM   |       N/A       N/A       N/A  |        N/A       0.27 |       8.4466
ASELS   |     49.61       N/A     49.61  |       5.72       8.70 |       4.7807
ASGYO   |      1.46       N/A      1.46  |       0.31      37.03 |       0.9127
ASTOR   |     33.54       N/A     33.54  |       7.22       7.65 |       4.1280
ASUZU   |     16.71       N/A     16.71  |       0.92       0.51 |       1.0063
ATAGY   |       N/A       N/A       N/A  |       0.77      12.92 |       3.6253
ATAKP   |       N/A       N/A       N/A  |       1.08       1.98 |       3.5757
ATATP   |      9.95       N/A      9.95  |       4.63       0.79 |       1.8161
ATATR   |     26.51       N/A     26.51  |       3.35       4.96 |       2.6532
ATEKS   |      1.69       N/A      1.69  |       0.44       4.32 |       0.3059
ATLAS   |      5.54       N/A      5.54  |       1.04       0.08 |       0.6210
ATSYH   |     31.74       N/A     31.74  |       6.84       8.17 |       3.9265
AVGYO   |       N/A       N/A       N/A  |       0.71       6.97 |       3.4711
AVHOL   |       N/A       N/A       N/A  |       1.63       3.36 |       3.9057
AVOD    |       N/A       N/A       N/A  |       0.89       0.66 |       3.4447
AVPGY   |     15.09       N/A     15.09  |       0.51       3.15 |       0.7902
AVTUR   |     12.23       N/A     12.23  |       0.58      28.49 |       1.2461
AYCES   |       N/A       N/A       N/A  |       3.22      39.93 |       5.5106
AYDEM   |       N/A      3.44       N/A  |       0.43       1.46 |       3.2051
AYEN    |     42.34       N/A     42.34  |       0.52       1.31 |       1.5582
AYES    |      5.46       N/A      5.46  |       1.85       0.47 |       0.8251
AYGAZ   |      9.00     15.18     10.86  |       0.64       0.62 |       0.6859
AZTEK   |       N/A       N/A       N/A  |       2.65       0.55 |       4.4107
BAGFS   |       N/A     27.87       N/A  |      49.56       0.83 |      18.8759
BAHKM   |       N/A       N/A       N/A  |       4.81       6.51 |       5.7191
BAKAB   |       N/A       N/A       N/A  |       1.30       0.60 |       3.6705
BALAT   |     36.05       N/A     36.05  |      17.02     377.19 |      14.1322
BALSU   |     23.32       N/A     23.32  |       3.47       1.22 |       2.3999
